shift_px,profiled_rss
-2.050000000000014,9.021107065827375e-17
-2.000000000000014,1.7821342602089976e-17
-1.9500000000000144,1.113927425126345e-18
-1.9000000000000146,4.010390630363323e-17
-1.8500000000000147,1.3479930159017178e-16
-1.800000000000015,2.8520105693093486e-16
-1.750000000000015,4.913030027412007e-16
-1.7000000000000153,7.530918331155636e-16
-1.6500000000000155,1.0705471024236033e-15
-1.6000000000000156,1.4436412802803869e-15
-1.5500000000000158,1.872339897590739e-15
-1.500000000000016,2.356601456023817e-15
-1.4500000000000162,2.89637738460106e-15
-1.4000000000000163,3.491612162198335e-15
-1.3500000000000165,4.142243257674795e-15
-1.3000000000000167,4.848201144341927e-15
-1.2500000000000169,5.609409128356993e-15
-1.200000000000017,6.425783386668514e-15
-1.1500000000000172,7.297233196327019e-15
-1.1000000000000174,8.223660767216827e-15
-1.0500000000000176,9.204961247673794e-15
-1.0000000000000178,1.024102275610791e-14
-0.9500000000000179,1.133172641767006e-14
-0.9000000000000181,1.2476946394530835e-14
-0.8500000000000183,1.3676549871375651e-14
-0.8000000000000185,1.4930397065885124e-14
-0.7500000000000187,1.6238341159429367e-14
-0.7000000000000188,1.760022833811219e-14
-0.650000000000019,1.9015897864375162e-14
-0.6000000000000192,2.0485182347900407e-14
-0.5500000000000194,2.2007908212292558e-14
-0.5000000000000195,2.3583895291989772e-14
-0.4500000000000197,2.5212956644470662e-14
-0.4000000000000199,2.6894899110053778e-14
-0.3500000000000201,2.8629523130708595e-14
-0.30000000000002025,3.0416622726523186e-14
-0.25000000000002043,3.225598504925225e-14
-0.2000000000000206,3.414739054918631e-14
-0.15000000000002078,3.609061357623427e-14
-0.10000000000002096,3.808542201095466e-14
-0.05000000000002114,4.013157726687912e-14
-2.1316282072803006e-14,4.2228834395409456e-14
0.049999999999978506,4.437694217372168e-14
0.09999999999997833,4.6575643186015627e-14
0.14999999999997815,4.8824673811696174e-14
0.19999999999997797,5.112376428802933e-14
0.2499999999999778,5.3472638606346465e-14
0.2999999999999776,5.5871014584130636e-14
0.34999999999997744,5.831860397891175e-14
0.39999999999997726,6.081511299135247e-14
0.4499999999999771,6.336024306431108e-14
0.4999999999999769,6.595369028635423e-14
0.5499999999999767,6.859514491045996e-14
0.5999999999999766,7.128429249700583e-14
0.6499999999999764,7.402081359561734e-14
0.6999999999999762,7.680438357878323e-14
0.749999999999976,7.963467186981956e-14
0.7999999999999758,8.251134220275489e-14
0.8499999999999757,8.543405360486617e-14
0.8999999999999755,8.840245986600471e-14
0.9499999999999753,9.14162094772222e-14
0.9999999999999751,9.447494580734363e-14
1.049999999999975,9.757830723038344e-14
1.0999999999999748,1.0072592725471834e-13
1.1499999999999746,1.0391743451216914e-13
1.1999999999999744,1.071524528831488e-13
