shift_px,spec0,spec44,spec89,spec134,spec179,spec224,spec269,spec314,spec359,spec404,spec449,spec494
-4.550000000000005,1.0010170454040574,1.0037687530741717,1.010376290248234,1.0032529026822192,1.003646030283548,1.0012670220578912,1.0746504804617514,1.0570801375422283,1.0118026083627456,1.000824440693606,1.0085636057428518,1.0000262966274556
-4.500000000000005,1.0010543028499705,1.003917272907074,1.0102084941851261,1.0031428057773495,1.0035773298651085,1.0013189592514051,1.0741896625121912,1.0570890502373853,1.0117688402786311,1.0007732617489737,1.0083666334900148,1.0000202056467455
-4.4500000000000055,1.001091690870107,1.0040671398074865,1.0100415159721536,1.0030344511161984,1.0035092546601605,1.0013714325090084,1.0737280747436029,1.0570942801402534,1.0117351965937995,1.0007236400658526,1.0081714295436286,1.0000149436385741
-4.400000000000006,1.0011292078055443,1.0042183621105047,1.0098753701468874,1.002927848889734,1.0034418063265362,1.0014244400353385,1.0732657470589562,1.0570958240916233,1.0117016729704755,1.000675585160145,1.0079780162822727,1.0000104970127706
-4.350000000000006,1.0011668519522041,1.004370947052836,1.009710070847149,1.0028230081842082,1.0033749861957282,1.0014779798840887,1.0728027085630212,1.0570936785689726,1.0116682649606503,1.0006291061895567,1.007786415502736,1.0000068519059295
-4.300000000000006,1.0012046215613257,1.0045249007789907,1.0095456318109277,1.0027199369835433,1.003308795274198,1.001532049958498,1.0723389875635059,1.0570878396915777,1.0116349680066505,1.0005842119530401,1.0075966484181478,1.0000039941841656
-4.250000000000006,1.0012425148399766,1.0046802283482636,1.0093820663766722,1.0026186421724463,1.0032432342450128,1.0015866480119553,1.0718746115727242,1.05707830322593,1.0116017774418977,1.000540910890542,1.0074087356564085,1.0000019094461856
-4.200000000000006,1.0012805299516112,1.0048369337425227,1.009219387483958,1.0025191295402678,1.003178303469811,1.0016417716487243,1.0714096073098143,1.0570650645914719,1.0115686884918282,1.0004992110830728,1.0072226972588825,1.000000583026678
-4.150000000000007,1.0013186650166643,1.004995019874767,1.0090576076745257,1.002421403785582,1.0031140029910852,1.0016974183247869,1.0709440007034794,1.0570481188666265,1.0115356962749908,1.0004591202530917,1.0070385526793764,1.0
-4.100000000000007,1.0013569181131925,1.0051544885984527,1.0088967390936863,1.0023254685214693,1.0030503325347908,1.0017535853487947,1.0704778168952531,1.0570274607951102,1.011502795804323,1.0004206457652092,1.0068563207833938,1.000000145184174
-4.050000000000007,1.0013952872775513,1.0053153407175803,1.0087367934921123,1.002231326281513,1.0029872915132698,1.0018102698831375,1.0700110802432763,1.057003084792536,1.0114699819885915,1.0003837946272176,1.0066760198476632,1.000001003145176
-4.000000000000007,1.0014337705051137,1.0054775759975143,1.0085777822279873,1.002138978526469,1.0029248790284873,1.001867468945131,1.0695438143265763,1.0569749849532681,1.0114372496340194,1.000348573491419,1.0064976675599544,1.000002558201506
-3.9500000000000073,1.0014723658687799,1.0056411966343084,1.0084197177475214,1.0020484289987555,1.0028630948301918,1.001925179831117,1.0690760449745562,1.0569431576576964,1.0114045937986462,1.0003149894667445,1.006321282642854,1.0000047953802988
-3.9000000000000075,1.0015110718701346,1.0058062176021592,1.008262618021205,1.0019596937508446,1.0028019421794914,1.0019834013842828,1.068607809319404,1.056907609355023,1.0113720108492075,1.0002830525516297,1.0061468897195094,1.0000077032738748
-3.8500000000000076,1.0015498870816308,1.005972656219057,1.0081065021087556,1.0018727910690302,1.0027414249791116,1.0020421327231865,1.0681391466752501,1.0568683487232258,1.0113394973989216,1.0002527732015016,1.0059745144306642,1.0000112711844789
-3.800000000000008,1.0015888100282275,1.0061405286778637,1.0079513886775955,1.0017877381163212,1.0026815468161503,1.002101372817941,1.0676700955018639,1.056825384063325,1.0113070499530525,1.000224161515125,1.0058041818050307,1.000015488172186
-3.750000000000008,1.001627839187505,1.0063098500447627,1.0077972959994492,1.0017045509277926,1.002622310960491,1.0021611204897272,1.0672006933998137,1.0567787233000334,1.011274664907772,1.000197227231548,1.0056359162548034,1.0000203430546677
-3.700000000000008,1.0016669729898255,1.0064806342585946,1.0076442419473206,1.0016232444067685,1.0025637203635562,1.0022213744104291,1.066730977106239,1.0567283739827908,1.0112423385492,1.0001719797273532,1.0054697415714362,1.0000258244073132
-3.6500000000000083,1.0017062098185365,1.0066528941310628,1.0074922439928395,1.0015438323218104,1.0025057776573973,1.0022821331023948,1.066260982491222,1.0566743432871673,1.0112100670526192,1.0001484280142454,1.0053056809217311,1.0000319205636812
-3.6000000000000085,1.0017455480102215,1.0068266413477984,1.007341319203976,1.0014663273045015,1.0024484851541242,1.0023433949383107,1.0657907445547454,1.0566166380166115,1.0111778464818444,1.0001265807369493,1.0051437568441994,1.0000386196162963
-3.5500000000000087,1.00178498585499,1.0070018864702774,1.0071914842431373,1.0013907408480345,1.0023918448456668,1.0024051581412055,1.0653202974242437,1.056555264604566,1.0111456727888053,1.0001064461714366,1.0049839912457204,1.0000459094177692
-3.500000000000009,1.0018245215968167,1.0071786389385662,1.0070427553656365,1.001317083306558,1.0023358584038673,1.0024674207845663,1.0648496743527152,1.0564902291168876,1.011113541813255,1.0000880322234733,1.0048264053984923,1.0000537775822425
-3.450000000000009,1.001864153433916,1.0073569070749016,1.0068951484185305,1.0012453638953083,1.0022805271809057,1.00253018079258,1.0643789077174135,1.056421537254628,1.0110814492826945,1.0000713464274966,1.0046710199372637,1.0000622114871507
-3.4000000000000092,1.0019038795191657,1.007536698088078,1.0067486788398479,1.0011755906914896,1.0022258522100507,1.0025934359404873,1.063908029019105,1.0563491943571077,1.0110493908124474,1.000056395945809,1.0045178548568652,1.0000711982752988
-3.3500000000000094,1.0019436979605687,1.0077180180786334,1.0066033616581787,1.0011077706359044,1.002171834206733,1.0026571838550569,1.0634370688818637,1.0562732054053083,1.0110173619058964,1.0000431875681026,1.0043669295100324,1.0000807248572379
-3.3000000000000096,1.001983606821753,1.0079008720448293,1.0064592114926574,1.001041909535319,1.0021184735699469,1.002721422015177,1.0629660570534338,1.056193575025566,1.0109853579549204,1.0000317277113027,1.004218262605506,1.0000907779139465
-3.2500000000000098,1.002023604122519,1.0080852638894053,1.0063162425533074,1.0009780120655525,1.0020657703839637,1.002786147752556,1.0624950224061138,1.0561103074935423,1.01095337424048,1.0000220224197438,1.0040718722064483,1.0001013438997997
-3.20000000000001,1.0020636878394216,1.008271196427094,1.0061744686417833,1.0009160817752785,1.0020137244203682,1.0028513582525482,1.062023992938184,1.0560234067384906,1.010921405933379,1.0000140773656543,1.0039277757291243,1.0001124090458282
-3.15000000000001,1.002103855906391,1.0084586713928936,1.0060339031524697,1.0008561210905316,1.0019623351404034,1.0029170505550804,1.0615529957758585,1.0559328763477875,1.0108894480951887,1.0000078978499896,1.0037859899418975,1.0001239593632572
-3.1000000000000103,1.0021441062153966,1.0086476894510719,1.005894559073975,1.0007981313199015,1.0019116016976308,1.0029832215556989,1.061082057175751,1.0558387195717256,1.0108574956793506,1.0000034888035552,1.0036465309645057,1.000135980647316
-3.0500000000000105,1.0021844366171435,1.008838250204907,1.0057564489910045,1.0007421126604126,1.0018615229408963,1.003049868006724,1.0606112025278627,1.0557409393285722,1.0108255435324474,1.000000854788481,1.0035094142676309,1.0001484584813232
-3.0000000000000107,1.0022248449218107,1.0090303522071307,1.0056195850865959,1.000688064204059,1.0018120974175968,1.0031169865185139,1.0601404563590615,1.0556395382098636,1.0107935863956217,1.0,1.0033746546727689,1.0001613782410188
-2.950000000000011,1.0022653290210224,1.0092239962471519,1.0054839804799742,1.0006359870781836,1.0017633242774406,1.0031845739923093,1.0596698452307982,1.0555345209775495,1.0107616192533135,1.0000009289957021,1.0032422678817123,1.000174726159534
-2.900000000000011,1.0023058872493875,1.0094191951541875,1.005349653233338,1.0005858938336105,1.001715205972521,1.0032526289136803,1.0591994063998682,1.0554259020208887,1.010729638372798,1.0000036488777404,1.0031122750620085,1.0001884925075806
-2.850000000000011,1.0023465180164024,1.0096159639100784,1.0052166223429,1.0005377990136886,1.001667745550514,1.0033211500544308,1.0587291790935833,1.0553136978430282,1.0106976402566998,1.0000081671085133,1.002984698251937,1.0002026684046395
-2.8000000000000114,1.0023872196846868,1.0098143163627382,1.0050849063998692,1.0004917160122968,1.001620945751969,1.0033901360401452,1.0582592016047523,1.0551979245631182,1.010665621293683,1.0000144907805086,1.0028595588261149,1.0002172447569004
