case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_n_s0192,0.0579023,0,0.0153977,0.194407,0.00958249,0,0.0055
etalon_f_cold_n_s0194,0.0579023,0,0.0129245,2.30692,0.00610285,0,0.0055
etalon_f_cold_n_s0196,0.0579023,0,0.0223994,-0.268926,0.0102862,0,0.0055
etalon_f_cold_n_s0198,0.0579023,0,0.00614317,0.417438,0.00439076,0,0.0055
etalon_f_cold_n_s0200,0.0579023,0,-0.0042129,0.0312382,-0.00217223,0,0.0055
etalon_f_cold_n_s0202,0.0579023,0,0.00236419,0.0821522,0.00120298,0,0.0055
etalon_f_cold_n_s0204,0.0579023,0,0.00931196,0.453979,0.00670617,0,0.0055
etalon_f_cold_n_s0206,0.0579023,0,0.00361896,0.419683,0.00176395,0,0.0055
etalon_f_cold_n_s0208,0.0579023,0,0.0120032,1.28721,0.00621265,0,0.0055
etalon_f_cold_n_s0210,0.0579023,0,0.0238799,0.505097,0.00977779,0,0.0055
etalon_f_cold_n_s0212,0.0579023,0,0.00599852,0.191809,0.00195594,0,0.0055
etalon_f_cold_n_s0214,0.0579023,0,0.0253506,0.282019,0.0132651,0,0.0055
etalon_f_cold_n_s0216,0.0579023,0,0.028164,0.248045,0.015851,0,0.0055
etalon_f_cold_n_s0218,0.0579023,0,-0.00667859,-0.0351681,-0.00529365,0,0.0055
etalon_f_cold_n_s0220,0.0579023,0,0.0149742,-2.11832,0.0105767,0,0.0055
etalon_f_cold_n_s0222,0.0579023,0,0.0569696,1.78036,0.0346917,0,0.0055
etalon_f_cold_n_s0224,0.0579023,0,0.0225604,0.425019,0.022977,0,0.0055
etalon_f_cold_n_s0226,0.0579023,0,0.0112845,0.210279,0.00707739,0,0.0055
etalon_f_cold_n_s0228,0.0579023,0,0.0152062,0.279888,0.0163844,0,0.0055
etalon_f_cold_n_s0230,0.0579023,0,0.05095,-6.66834,0.0250659,0,0.0055
etalon_f_cold_n_s0232,0.0579023,0,0.0178397,0.333008,0.0115231,0,0.0055
etalon_f_cold_n_s0234,0.0579023,0,0.00882906,0.494532,0.00645522,0,0.0055
etalon_f_cold_n_s0236,0.0579023,0,0.00189193,0.0899427,-0.000321441,0,0.0055
etalon_f_cold_n_s0238,0.0579023,0,0.0146936,0.177401,0.00879507,0,0.0055
etalon_f_cold_n_s0240,0.0579023,0,0.0139128,0.128826,0.00623133,0,0.0055
etalon_f_cold_n_s0242,0.0579023,0,0.0153912,0.0968642,0.0137969,0,0.0055
etalon_f_cold_n_s0244,0.0579023,0,0.0313495,0.182717,0.0408061,0,0.0055
etalon_f_cold_n_s0246,0.0579023,0,0.0305412,0.200832,0.0256501,0,0.0055
etalon_f_cold_n_s0248,0.0579023,0,0.00442163,0.0831137,0.00271261,0,0.0055
etalon_f_cold_n_s0250,0.0579023,0,0.019634,0.114709,0.0128622,0,0.0055
etalon_f_cold_n_s0252,0.0579023,0,0.0315408,0.153772,0.0179201,0,0.0055
etalon_f_cold_n_s0254,0.0579023,0,0.0101633,0.0880541,0.00990716,0,0.0055
etalon_f_cold_n_s0256,0.0579023,0,0.00441168,0.0986005,0.0262099,0,0.0055
etalon_f_cold_n_s0258,0.0579023,0,0.0377563,0.107119,0.0285421,0,0.0055
etalon_f_cold_n_s0260,0.0579023,0,0.0361553,0.124707,0.0201284,0,0.0055
etalon_f_cold_n_s0262,0.0579023,0,0.0271338,0.0964614,0.0142064,0,0.0055
etalon_f_cold_n_s0264,0.0579023,0,-0.00064551,0.0312614,-0.00211623,0,0.0055
etalon_f_cold_n_s0266,0.0579023,0,0.038082,0.0712472,0.0306383,0,0.0055
etalon_f_cold_n_s0268,0.0579023,0,0.0189742,0.117642,0.00989821,0,0.0055
etalon_f_cold_n_s0270,0.0579023,0,0.0367096,0.119386,0.0283773,0,0.0055
etalon_f_cold_n_s0272,0.0579023,0,0.025906,0.11089,0.0250316,0,0.0055
etalon_f_cold_n_s0274,0.0579023,0,0.011335,0.103594,0.00635051,0,0.0055
etalon_f_cold_n_s0276,0.0579023,0,0.0210456,0.135437,0.0129713,0,0.0055
etalon_f_cold_n_s0278,0.0579023,0,0.0294864,0.358011,0.0334595,0,0.0055
etalon_f_cold_n_s0280,0.0579023,0,0.0419676,0.24068,0.0235648,0,0.0055
etalon_f_cold_n_s0282,0.0579023,0,0.0469016,0.323032,0.0259782,0,0.0055
etalon_f_cold_n_s0284,0.0579023,0,0.0302772,0.293439,0.0344671,0,0.0055
etalon_f_cold_n_s0286,0.0579023,0,0.0291843,0.13713,0.0144986,0,0.0055
etalon_f_cold_n_s0288,0.0579023,0,0.041237,0.185546,0.0260419,0,0.0055
etalon_f_cold_n_s0290,0.0579023,0,0.0186386,0.148748,0.0141063,0,0.0055
etalon_f_cold_n_s0292,0.0579023,0,0.063536,0.734542,0.041487,0,0.0055
etalon_f_cold_n_s0294,0.0579023,0,0.0271431,1.83277,0.0182084,0,0.0055
etalon_f_cold_n_s0296,0.0579023,0,0.00432013,-0.0464103,0.00428681,0,0.0055
etalon_f_cold_n_s0298,0.0579023,0,0.019758,-0.165955,0.0140099,0,0.0055
etalon_f_cold_n_s0300,0.0579023,0,0.00754609,-0.00392516,0.00656673,0,0.0055
etalon_f_cold_n_s0302,0.0579023,0,0.00534546,-0.115806,0.00347809,0,0.0055
etalon_f_cold_n_s0304,0.0579023,0,0.0165509,-1.26299,0.016566,0,0.0055
etalon_f_cold_n_s0306,0.0579023,0,0.0168555,29.9537,0.0114116,0,0.0055
etalon_f_cold_n_s0308,0.0579023,0,-0.00369635,0.0417645,-0.0023034,0,0.0055
etalon_f_cold_n_s0310,0.0579023,0,-0.0141561,0.227817,-0.00962087,0,0.0055
etalon_f_cold_n_s0312,0.0579023,0,-0.00421604,0.0397584,-0.00373706,0,0.0055
etalon_f_cold_n_s0314,0.0579023,0,0.00610461,-0.246336,0.00586504,0,0.0055
etalon_f_cold_n_s0316,0.0579023,0,0.00163509,-0.0564264,0.001251,0,0.0055
etalon_f_cold_n_s0318,0.0579023,0,-0.000647009,0.0381628,-0.00557665,0,0.0055
etalon_f_cold_n_s0320,0.0579023,0,-0.00509535,0.135068,-0.0054818,0,0.0055
etalon_f_cold_n_s0322,0.0579023,0,-0.033315,-0.402501,-0.0272143,0,0.0055
etalon_f_cold_n_s0324,0.0579023,0,0.00103525,0.849557,0.000496436,0,0.0055
etalon_f_cold_n_s0326,0.0579023,0,0.00193858,0.0970859,0.00163565,0,0.0055
etalon_f_cold_n_s0328,0.0579023,0,-0.008944,-0.326748,-0.00604165,0,0.0055
etalon_f_cold_n_s0330,0.0579023,0,-0.00765826,-0.235484,-0.00700759,0,0.0055
etalon_f_cold_n_s0332,0.0579023,0,-0.0139521,-0.524047,-0.0133151,0,0.0055
etalon_f_cold_n_s0334,0.0579023,0,-0.0090327,-0.0647124,-0.00647761,0,0.0055
etalon_f_cold_n_s0336,0.0579023,0,-0.00272007,-0.00411071,-0.00355835,0,0.0055
etalon_f_cold_n_s0338,0.0579023,0,-0.026736,-0.091843,-0.0302397,0,0.0055
etalon_f_cold_n_s0340,0.0579023,0,-0.0388634,-0.13448,-0.0361646,0,0.0055
etalon_f_cold_n_s0342,0.0579023,0,-0.0281937,-0.12915,-0.0208657,0,0.0055
etalon_f_cold_n_s0344,0.0579023,0,-0.00670998,-0.00922474,-0.00694437,0,0.0055
etalon_f_cold_n_s0346,0.0579023,0,-0.00280762,-0.0346284,-0.00241065,0,0.0055
etalon_f_cold_n_s0348,0.0579023,0,-0.0368848,-0.326505,-0.0382114,0,0.0055
etalon_f_cold_n_s0350,0.0579023,0,-0.0350731,-0.118822,-0.0232302,0,0.0055
etalon_f_cold_n_s0352,0.0579023,0,-0.0410767,-0.12736,-0.0457237,0,0.0055
etalon_f_cold_n_s0354,0.0579023,0,-0.0179295,-0.0698027,-0.0178011,0,0.0055
etalon_f_cold_n_s0356,0.0579023,0,-0.0369122,-0.123033,-0.0398373,0,0.0055
etalon_f_cold_n_s0358,0.0579023,0,-0.0166696,-0.0643576,-0.0244616,0,0.0055
